Time Lapsed,Absolute_Acceleration
1255.829,1.427
1255.935,1.429
1256.033,1.428
1256.160,1.427
1256.237,1.428
1256.340,1.428
1256.443,1.427
1256.559,1.427
1256.646,1.428
1256.749,1.429
1256.852,1.427
1256.970,1.428
1257.058,1.429
1257.158,1.428
1257.261,1.428
1257.363,1.429
1257.467,1.427
1257.570,1.428
1257.670,1.428
1257.773,1.428
1257.877,1.428
1257.978,1.428
1258.116,1.428
1258.119,1.428
1258.208,1.428
1258.395,1.428
1258.413,1.427
1258.514,1.428
1258.614,1.428
1258.717,1.429
1258.807,1.428
1258.905,1.428
1259.026,1.428
1259.103,1.427
1259.207,1.429
1259.310,1.429
1259.412,1.428
1259.515,1.429
1259.616,1.428
1259.719,1.428
1259.820,1.427
1259.925,1.428
1260.027,1.428
1260.128,1.429
1310.233,1.428
1310.333,1.427
1310.433,1.428
1310.538,1.429
1310.644,1.429
1310.744,1.428
1310.846,1.428
1310.967,1.428
1311.051,1.428
1311.156,1.428
1311.255,1.428
1311.380,1.429
1311.460,1.428
1311.563,1.428
1311.702,1.428
1311.766,1.429
1311.795,1.429
1311.972,1.427
1311.999,1.428
1312.097,1.428
1312.199,1.428
1312.304,1.428
1312.405,1.429
1312.507,1.428
1312.610,1.428
1312.714,1.428
1312.805,1.427
1312.896,1.428
1312.996,1.427
1313.097,1.429
1313.217,1.428
1313.303,1.429
1313.406,1.429
1313.509,1.429
1313.633,1.428
1313.713,1.428
1313.834,1.429
1313.922,1.429
1314.021,1.428
1314.123,1.429
1314.193,1.429
1314.327,1.428
1314.429,1.427
1314.555,1.429
1314.644,1.428
1314.737,1.428
1314.839,1.429
1314.940,1.429
1315.054,1.428
1315.152,1.427
1315.247,1.429
1315.347,1.427
1315.450,1.429
1315.556,1.428
1315.655,1.428
1315.762,1.427
1315.786,1.428
1315.888,1.427
1315.988,1.428
1316.170,1.428
1316.198,1.428
1316.283,1.427
1316.383,1.428
1316.485,1.428
1316.585,1.427
1316.683,1.428
1316.784,1.429
1316.891,1.427
1316.989,1.427
1317.092,1.428
1317.215,1.428
1317.297,1.428
1317.399,1.428
1317.501,1.428
1317.629,1.429
1317.724,1.428
1317.809,1.428
1317.910,1.429
1318.043,1.428
1318.114,1.428
1318.217,1.428
1318.320,1.429
1318.428,1.428
1318.526,1.427
1318.628,1.428
1318.754,1.429
1318.832,1.428
1318.959,1.428
1319.052,1.428
1319.168,1.428
1319.242,1.428
1319.339,1.428
1319.464,1.428
1319.550,1.429
1319.677,1.429
1319.679,1.427
1319.787,1.429
1319.882,1.429
1319.984,1.427
1320.164,1.428
1320.172,1.429
1610.293,1.427
1610.391,1.428
1610.471,1.428
1610.578,1.428
1610.676,1.429
1610.779,1.428
1610.891,1.428
1610.984,1.428
1611.090,1.428
1611.189,1.427
1611.302,1.429
1611.401,1.428
1611.494,1.428
1611.596,1.429
1611.699,1.427
1611.803,1.428
1611.907,1.429
1612.007,1.427
1612.130,1.429
1612.264,1.429
1612.315,1.428
1612.416,1.428
1612.476,1.429
1612.622,1.428
1612.727,1.429
1612.787,1.427
1612.929,1.428
1612.994,1.427
1613.139,1.428
1613.167,1.429
1613.264,1.428
1613.462,1.428
1613.480,1.429
1613.573,1.428
1613.668,1.427
1613.773,1.428
1613.872,1.428
1613.977,1.429
1614.079,1.429
1614.197,1.428
1614.262,1.428
1614.381,1.429
1614.464,1.429
1614.567,1.428
1614.676,1.427
1614.771,1.428
1614.875,1.428
1614.977,1.429
1615.081,1.429
1615.206,1.428
1615.302,1.428
1615.413,1.428
1615.489,1.428
1615.595,1.429
1615.711,1.428
1615.796,1.427
1615.898,1.427
1616.001,1.429
1616.105,1.429
1616.205,1.428
1616.308,1.429
1616.412,1.428
1616.516,1.428
1616.614,1.428
1616.717,1.429
1616.818,1.427
1616.923,1.429
1617.025,1.428
1617.053,1.428
1617.162,1.428
1617.252,1.429
1617.356,1.428
1617.459,1.428
1617.641,1.428
1617.668,1.428
1617.765,1.427
1617.873,1.428
1617.950,1.429
1618.072,1.428
1618.150,1.428
1618.254,1.428
1618.355,1.429
1618.458,1.428
1618.561,1.428
1618.664,1.428
1618.766,1.428
1618.869,1.428
1618.976,1.428
1619.072,1.428
1619.175,1.428
1619.278,1.427
1619.387,1.429
1619.485,1.429
1619.589,1.427
1619.710,1.428
1619.792,1.428
1619.891,1.429
