Time Lapsed,Acceleration_Z
1384.712,1.0
1384.812,1.0
1384.910,1.001
1385.030,1.0
1385.109,1.001
1385.211,1.002
1385.339,1.0
1385.415,1.0
1385.513,1.0
1385.616,1.0
1385.721,1.001
1385.822,1.001
1385.915,1.001
1386.030,1.001
1386.128,1.001
1386.239,1.001
1386.339,0.999
1386.437,1.001
1386.545,1.0
1386.652,1.0
1676.751,1.001
1676.847,1.001
1676.974,1.001
1677.050,1.0
1677.153,1.001
1677.255,1.001
1677.386,1.0
1677.491,1.001
1677.570,1.001
1677.711,1.0
1677.778,1.0
1677.805,1.0
1677.903,1.001
1678.003,1.0
1678.106,1.001
1678.207,1.001
1678.310,1.0
1678.410,1.001
1678.515,1.001
1678.611,1.001
1678.717,1.0
1678.812,1.0
1678.920,1.001
1678.996,1.001
1679.099,1.001
1679.224,1.001
1679.302,1.002
1679.398,1.0
1679.516,1.001
1679.616,1.0
1679.717,1.0
1679.815,1.001
1679.923,1.0
1680.030,1.0
1680.152,1.0
1680.224,1.001
1680.327,1.0
1680.430,1.0
1680.533,0.999
1680.650,1.0
1680.741,1.001
1680.847,1.0
1680.949,1.001
1681.016,1.0
1681.150,1.0
1681.255,1.001
1681.356,1.001
1681.459,1.001
1681.555,1.0
1681.658,1.001
1681.689,1.0
1681.805,1.0
1681.893,1.0
1681.994,1.0
1682.101,1.001
1682.189,1.0
1682.295,1.002
1682.403,1.0
1682.516,1.001
1682.589,1.001
1682.707,1.0
1682.793,1.001
1682.886,1.0
1682.996,1.002
1683.094,1.001
1683.224,1.0
1683.329,1.001
1683.400,1.001
1683.510,1.0
1683.621,1.001
1683.712,1.0
1683.812,1.002
1683.910,1.0
