Time Lapsed,Magnetic field Z
1678.003,17.033
1678.106,17.18
1678.207,17.127
1678.310,16.993
1678.410,16.873
1678.515,17.26
1678.611,17.287
1678.717,17.133
1678.812,17.293
1678.920,17.1
1678.996,17.287
1679.099,17.007
1679.224,17.22
1679.302,17.32
1679.398,17.133
1679.516,17.147
1679.616,16.967
1679.717,17.14
1679.815,17.213
1679.923,16.987
1680.030,17.053
1680.152,17.0
1680.224,17.36
1680.327,17.413
1680.430,16.967
1680.533,16.993
1680.650,17.073
1680.741,17.053
1680.847,17.213
1680.949,17.133
1681.016,16.953
1681.150,17.16
1681.255,17.26
1681.356,17.047
1681.459,17.033
1681.555,17.04
1681.658,16.993
1681.689,17.207
1681.805,17.06
1681.893,17.28
1681.994,17.127
1682.101,17.0
1682.189,17.173
1682.295,17.26
1682.403,17.307
1682.516,17.06
1682.589,17.287
1682.707,17.187
1682.793,17.287
1682.886,17.087
1682.996,16.973
1683.094,17.0
1683.224,16.933
1683.329,17.287
1683.400,17.233
1683.510,17.127
1683.621,17.107
1683.712,16.92
1683.812,17.28
1683.910,17.247
