Time Lapsed,Absolute_Acceleration
1679.616,1.425
1679.717,1.424
1679.815,1.425
1679.923,1.424
1680.030,1.424
1680.152,1.424
1680.224,1.425
1680.327,1.424
1680.430,1.424
1680.533,1.425
1680.650,1.425
1680.741,1.424
1680.847,1.424
1680.949,1.425
1681.016,1.424
1681.150,1.424
1681.255,1.425
1681.356,1.425
1681.459,1.425
1681.555,1.424
1681.658,1.425
1681.689,1.424
1681.805,1.425
1681.893,1.424
1681.994,1.424
1682.101,1.425
1682.189,1.424
1682.295,1.425
1682.403,1.424
1682.516,1.424
1682.589,1.425
1682.707,1.425
1682.793,1.425
1682.886,1.425
1682.996,1.425
1683.094,1.424
1683.224,1.425
1683.329,1.425
1683.400,1.424
1683.510,1.424
1683.621,1.424
1683.712,1.425
1683.812,1.424
